[2016-05-27 13:14:40.870] [WARN] access - 304 GET / 706ms
[2016-05-27 13:19:01.773] [INFO] access - 200 GET / 592ms
[2016-05-27 13:19:02.138] [INFO] access - 200 GET /home/css/main.css 11ms
[2016-05-27 13:19:02.158] [INFO] access - 200 GET /home/js/main.js 3ms
[2016-05-27 13:19:03.429] [WARN] access - 304 GET /home/css/main.css 2ms
[2016-05-27 13:19:03.460] [WARN] access - 304 GET /home/js/main.js 1ms
[2016-05-27 13:40:40.264] [INFO] access - 200 GET / 472ms
[2016-05-27 13:40:40.567] [WARN] access - 304 GET /home/css/main.css 3ms
[2016-05-27 13:40:40.582] [INFO] access - 200 GET /home/js/main.js 4ms
[2016-05-27 13:40:42.193] [WARN] access - 304 GET /home/css/main.css 2ms
[2016-05-27 13:40:42.249] [WARN] access - 304 GET /home/js/main.js 1ms
[2016-05-27 13:44:08.722] [WARN] access - 304 GET / 260ms
[2016-05-27 13:44:09.113] [WARN] access - 304 GET /home/css/main.css 2ms
[2016-05-27 13:44:09.137] [INFO] access - 200 GET /home/js/main.js 3ms
[2016-05-27 13:44:10.341] [WARN] access - 304 GET /home/css/main.css 1ms
[2016-05-27 13:44:10.467] [WARN] access - 304 GET /home/js/main.js 1ms
[2016-05-27 13:44:14.118] [WARN] access - 304 GET / 139ms
[2016-05-27 13:44:14.373] [WARN] access - 304 GET /home/css/main.css 1ms
[2016-05-27 13:44:14.385] [WARN] access - 304 GET /home/js/main.js 1ms
[2016-05-27 13:44:15.419] [WARN] access - 304 GET /home/css/main.css 1ms
[2016-05-27 13:44:15.526] [WARN] access - 304 GET /home/js/main.js 1ms
[2016-05-27 13:46:00.221] [INFO] access - 200 GET / 1614ms
[2016-05-27 13:46:00.561] [WARN] access - 304 GET /home/css/main.css 6ms
[2016-05-27 13:46:00.577] [WARN] access - 304 GET /home/js/main.js 1ms
[2016-05-27 13:46:02.414] [WARN] access - 304 GET /home/css/main.css 1ms
[2016-05-27 13:46:02.473] [WARN] access - 304 GET /home/js/main.js 1ms
[2016-05-27 13:46:34.413] [INFO] access - 200 GET / 381ms
[2016-05-27 13:46:34.660] [WARN] access - 304 GET /home/css/main.css 12ms
[2016-05-27 13:46:34.674] [WARN] access - 304 GET /home/js/main.js 2ms
[2016-05-27 13:46:35.603] [WARN] access - 304 GET /home/css/main.css 1ms
[2016-05-27 13:46:35.757] [WARN] access - 304 GET /home/js/main.js 1ms
[2016-05-27 13:46:49.057] [INFO] access - 200 GET / 220ms
[2016-05-27 13:46:49.333] [WARN] access - 304 GET /home/css/main.css 2ms
[2016-05-27 13:46:49.355] [WARN] access - 304 GET /home/js/main.js 1ms
[2016-05-27 13:46:50.275] [WARN] access - 304 GET /home/css/main.css 0ms
[2016-05-27 13:46:50.362] [WARN] access - 304 GET /home/js/main.js 2ms
[2016-05-27 13:47:17.839] [WARN] access - 304 GET / 223ms
[2016-05-27 13:47:18.147] [WARN] access - 304 GET /home/css/main.css 1ms
[2016-05-27 13:47:18.158] [WARN] access - 304 GET /home/js/main.js 1ms
[2016-05-27 13:47:19.096] [WARN] access - 304 GET /home/css/main.css 1ms
[2016-05-27 13:47:19.189] [WARN] access - 304 GET /home/js/main.js 0ms
[2016-05-27 13:47:26.905] [WARN] access - 304 GET / 165ms
[2016-05-27 13:47:27.166] [WARN] access - 304 GET /home/css/main.css 1ms
[2016-05-27 13:47:27.179] [WARN] access - 304 GET /home/js/main.js 2ms
[2016-05-27 13:47:28.107] [WARN] access - 304 GET /home/css/main.css 1ms
[2016-05-27 13:47:28.210] [WARN] access - 304 GET /home/js/main.js 2ms
[2016-05-27 14:07:51.040] [INFO] access - 200 GET / 2143ms
[2016-05-27 14:07:51.514] [WARN] access - 304 GET /home/css/main.css 30ms
[2016-05-27 14:07:51.575] [WARN] access - 304 GET /home/js/main.js 9ms
[2016-05-27 14:07:52.705] [WARN] access - 304 GET /home/css/main.css 1ms
[2016-05-27 14:07:52.800] [WARN] access - 304 GET /home/js/main.js 1ms
[2016-05-27 14:07:54.650] [INFO] access - 200 GET /product 134ms
[2016-05-27 14:07:54.913] [WARN] access - 304 GET /home/css/main.css 1ms
[2016-05-27 14:07:54.924] [WARN] access - 304 GET /home/js/main.js 7ms
[2016-05-27 14:07:55.771] [WARN] access - 304 GET /home/css/main.css 1ms
[2016-05-27 14:07:55.854] [WARN] access - 304 GET /home/js/main.js 2ms
[2016-05-27 14:07:56.824] [INFO] access - 200 GET /facilitator 90ms
[2016-05-27 14:07:56.947] [WARN] access - 304 GET /home/css/main.css 1ms
[2016-05-27 14:07:56.971] [WARN] access - 304 GET /home/js/main.js 1ms
[2016-05-27 14:07:58.047] [WARN] access - 304 GET /home/css/main.css 1ms
[2016-05-27 14:07:58.181] [WARN] access - 304 GET /home/js/main.js 24ms
[2016-05-27 14:07:59.767] [INFO] access - 200 GET /about 103ms
[2016-05-27 14:08:00.048] [WARN] access - 304 GET /home/css/main.css 0ms
[2016-05-27 14:08:00.054] [WARN] access - 304 GET /home/js/main.js 0ms
[2016-05-27 14:08:00.714] [WARN] access - 304 GET /home/css/main.css 1ms
[2016-05-27 14:08:00.784] [WARN] access - 304 GET /home/js/main.js 1ms
[2016-05-27 14:08:02.595] [INFO] access - 200 GET /join 94ms
[2016-05-27 14:08:02.916] [WARN] access - 304 GET /home/css/main.css 1ms
[2016-05-27 14:08:02.947] [WARN] access - 304 GET /home/js/main.js 7ms
[2016-05-27 14:08:03.817] [WARN] access - 304 GET /home/css/main.css 0ms
[2016-05-27 14:08:03.900] [WARN] access - 304 GET /home/js/main.js 1ms
[2016-05-27 14:08:04.811] [WARN] access - 304 GET / 148ms
[2016-05-27 14:08:05.171] [WARN] access - 304 GET /home/css/main.css 1ms
[2016-05-27 14:08:05.175] [WARN] access - 304 GET /home/js/main.js 4ms
[2016-05-27 14:08:06.122] [WARN] access - 304 GET /home/css/main.css 1ms
[2016-05-27 14:08:06.236] [WARN] access - 304 GET /home/js/main.js 1ms
[2016-05-27 14:09:10.130] [WARN] access - 304 GET /product 127ms
[2016-05-27 14:09:10.330] [WARN] access - 304 GET /home/css/main.css 1ms
[2016-05-27 14:09:10.368] [WARN] access - 304 GET /home/js/main.js 2ms
[2016-05-27 14:09:11.082] [WARN] access - 304 GET /home/css/main.css 3ms
[2016-05-27 14:09:11.178] [WARN] access - 304 GET /home/js/main.js 2ms
[2016-05-27 14:09:12.549] [INFO] access - 200 GET / 311ms
[2016-05-27 14:09:12.910] [WARN] access - 304 GET /home/css/main.css 5ms
[2016-05-27 14:09:12.911] [WARN] access - 304 GET /home/js/main.js 2ms
[2016-05-27 14:09:14.046] [WARN] access - 304 GET /home/css/main.css 0ms
[2016-05-27 14:09:14.104] [WARN] access - 304 GET /home/js/main.js 1ms
[2016-05-27 14:09:14.833] [WARN] access - 304 GET /facilitator 130ms
[2016-05-27 14:09:15.100] [WARN] access - 304 GET /home/css/main.css 0ms
[2016-05-27 14:09:15.116] [WARN] access - 304 GET /home/js/main.js 2ms
[2016-05-27 14:09:16.013] [WARN] access - 304 GET /home/css/main.css 1ms
[2016-05-27 14:09:16.139] [WARN] access - 304 GET /home/js/main.js 0ms
[2016-05-27 14:09:17.050] [WARN] access - 304 GET / 178ms
[2016-05-27 14:09:17.306] [WARN] access - 304 GET /home/css/main.css 3ms
[2016-05-27 14:09:17.312] [WARN] access - 304 GET /home/js/main.js 2ms
[2016-05-27 14:09:18.489] [WARN] access - 304 GET /home/css/main.css 1ms
[2016-05-27 14:09:18.586] [WARN] access - 304 GET /home/js/main.js 0ms
[2016-05-27 14:09:30.108] [WARN] access - 304 GET /product 93ms
[2016-05-27 14:09:30.359] [WARN] access - 304 GET /home/css/main.css 1ms
[2016-05-27 14:09:30.362] [WARN] access - 304 GET /home/js/main.js 0ms
[2016-05-27 14:09:30.934] [WARN] access - 304 GET /home/css/main.css 2ms
[2016-05-27 14:09:31.037] [WARN] access - 304 GET /home/js/main.js 1ms
[2016-05-27 14:09:31.638] [WARN] access - 304 GET /facilitator 62ms
[2016-05-27 14:09:31.904] [WARN] access - 304 GET /home/css/main.css 2ms
[2016-05-27 14:09:31.911] [WARN] access - 304 GET /home/js/main.js 2ms
[2016-05-27 14:09:32.688] [WARN] access - 304 GET /home/css/main.css 1ms
[2016-05-27 14:09:32.780] [WARN] access - 304 GET /home/js/main.js 1ms
[2016-05-27 14:09:33.657] [WARN] access - 304 GET /about 72ms
[2016-05-27 14:09:33.811] [WARN] access - 304 GET /home/css/main.css 0ms
[2016-05-27 14:09:33.813] [WARN] access - 304 GET /home/js/main.js 1ms
[2016-05-27 14:09:34.598] [WARN] access - 304 GET /home/css/main.css 1ms
[2016-05-27 14:09:34.730] [WARN] access - 304 GET /home/js/main.js 1ms
[2016-05-27 14:10:23.408] [INFO] access - 200 GET /about 103ms
[2016-05-27 14:10:23.575] [WARN] access - 304 GET /home/css/main.css 1ms
[2016-05-27 14:10:23.602] [INFO] access - 200 GET /home/js/main.js 10ms
[2016-05-27 14:10:24.523] [WARN] access - 304 GET /home/css/main.css 0ms
[2016-05-27 14:10:24.614] [WARN] access - 304 GET /home/js/main.js 1ms
[2016-05-27 14:10:26.895] [WARN] access - 304 GET /join 59ms
[2016-05-27 14:10:27.116] [WARN] access - 304 GET /home/css/main.css 2ms
[2016-05-27 14:10:27.117] [WARN] access - 304 GET /home/js/main.js 2ms
[2016-05-27 14:10:27.716] [WARN] access - 304 GET /home/css/main.css 1ms
[2016-05-27 14:10:27.826] [WARN] access - 304 GET /home/js/main.js 0ms
[2016-05-27 14:10:38.892] [INFO] access - 200 GET /join 112ms
[2016-05-27 14:10:39.173] [WARN] access - 304 GET /home/css/main.css 2ms
[2016-05-27 14:10:39.184] [WARN] access - 304 GET /home/js/main.js 1ms
[2016-05-27 14:10:40.503] [WARN] access - 304 GET /home/css/main.css 1ms
[2016-05-27 14:10:40.622] [WARN] access - 304 GET /home/js/main.js 1ms
[2016-05-27 14:10:41.785] [INFO] access - 200 GET /qa 166ms
[2016-05-27 14:10:42.156] [WARN] access - 304 GET /home/css/main.css 1ms
[2016-05-27 14:10:42.175] [WARN] access - 304 GET /home/js/main.js 2ms
[2016-05-27 14:10:42.927] [WARN] access - 304 GET /home/css/main.css 1ms
[2016-05-27 14:10:43.054] [WARN] access - 304 GET /home/js/main.js 0ms
[2016-05-27 14:10:53.543] [INFO] access - 200 GET /qa 72ms
[2016-05-27 14:10:53.826] [WARN] access - 304 GET /home/css/main.css 2ms
[2016-05-27 14:10:53.842] [WARN] access - 304 GET /home/js/main.js 0ms
[2016-05-27 14:10:54.543] [WARN] access - 304 GET /home/css/main.css 2ms
[2016-05-27 14:10:54.639] [WARN] access - 304 GET /home/js/main.js 2ms
[2016-05-27 14:17:11.512] [ERROR] access - 500 GET /qa 8ms
[2016-05-27 14:23:15.026] [INFO] access - 200 GET /qa 105ms
[2016-05-27 14:23:15.398] [WARN] access - 304 GET /home/css/main.css 1ms
[2016-05-27 14:23:15.605] [WARN] access - 304 GET /home/js/main.js 11ms
[2016-05-27 14:23:16.621] [WARN] access - 304 GET /home/css/main.css 1ms
[2016-05-27 14:23:16.760] [WARN] access - 304 GET /home/js/main.js 1ms
[2016-05-27 14:28:31.176] [INFO] access - 200 GET /qa 80ms
[2016-05-27 14:28:31.551] [WARN] access - 304 GET /home/css/main.css 1ms
[2016-05-27 14:28:31.559] [WARN] access - 304 GET /home/js/main.js 0ms
[2016-05-27 14:28:32.430] [WARN] access - 304 GET /home/css/main.css 1ms
[2016-05-27 14:28:32.475] [WARN] access - 304 GET /home/js/main.js 0ms
[2016-05-27 14:40:28.851] [INFO] access - 200 GET / 156ms
[2016-05-27 14:40:29.102] [WARN] access - 304 GET /home/css/main.css 1ms
[2016-05-27 14:40:29.108] [WARN] access - 304 GET /home/js/main.js 0ms
[2016-05-27 14:40:29.944] [WARN] access - 304 GET /home/css/main.css 0ms
[2016-05-27 14:40:29.993] [WARN] access - 304 GET /home/js/main.js 1ms
[2016-05-27 14:40:31.296] [INFO] access - 200 GET /product 115ms
[2016-05-27 14:40:31.411] [WARN] access - 304 GET /home/css/main.css 2ms
[2016-05-27 14:40:31.424] [WARN] access - 304 GET /home/js/main.js 0ms
[2016-05-27 14:40:31.924] [WARN] access - 304 GET /home/css/main.css 0ms
[2016-05-27 14:40:31.957] [WARN] access - 304 GET /home/js/main.js 0ms
[2016-05-27 14:40:33.954] [INFO] access - 200 GET /about 106ms
[2016-05-27 14:40:34.031] [WARN] access - 304 GET /home/css/main.css 6ms
[2016-05-27 14:40:34.034] [WARN] access - 304 GET /home/js/main.js 4ms
[2016-05-27 14:40:34.471] [WARN] access - 304 GET /home/css/main.css 0ms
[2016-05-27 14:40:34.501] [WARN] access - 304 GET /home/js/main.js 1ms
[2016-05-27 14:40:35.366] [INFO] access - 200 GET /join 62ms
[2016-05-27 14:40:35.429] [WARN] access - 304 GET /home/css/main.css 1ms
[2016-05-27 14:40:35.434] [WARN] access - 304 GET /home/js/main.js 1ms
[2016-05-27 14:40:35.886] [WARN] access - 304 GET /home/css/main.css 1ms
[2016-05-27 14:40:35.941] [WARN] access - 304 GET /home/js/main.js 1ms
[2016-05-27 14:40:37.185] [WARN] access - 304 GET /qa 65ms
[2016-05-27 14:40:37.249] [WARN] access - 304 GET /home/css/main.css 2ms
[2016-05-27 14:40:37.250] [WARN] access - 304 GET /home/js/main.js 2ms
[2016-05-27 14:40:37.718] [WARN] access - 304 GET /home/css/main.css 0ms
[2016-05-27 14:40:37.826] [WARN] access - 304 GET /home/js/main.js 0ms
[2016-05-27 14:40:40.485] [WARN] access - 304 GET / 97ms
[2016-05-27 14:40:40.552] [WARN] access - 304 GET /home/css/main.css 2ms
[2016-05-27 14:40:40.553] [WARN] access - 304 GET /home/js/main.js 2ms
[2016-05-27 14:40:41.062] [WARN] access - 304 GET /home/css/main.css 1ms
[2016-05-27 14:40:41.172] [WARN] access - 304 GET /home/js/main.js 3ms
[2016-05-27 14:40:46.321] [WARN] access - 304 GET /product 77ms
[2016-05-27 14:40:46.500] [WARN] access - 304 GET /home/css/main.css 2ms
[2016-05-27 14:40:46.502] [WARN] access - 304 GET /home/js/main.js 0ms
[2016-05-27 14:40:46.884] [WARN] access - 304 GET /home/css/main.css 3ms
[2016-05-27 14:40:46.913] [WARN] access - 304 GET /home/js/main.js 0ms
[2016-05-27 14:40:49.315] [INFO] access - 200 GET /facilitator 42ms
[2016-05-27 14:40:49.379] [WARN] access - 304 GET /home/css/main.css 2ms
[2016-05-27 14:40:49.414] [WARN] access - 304 GET /home/js/main.js 0ms
[2016-05-27 14:40:49.845] [WARN] access - 304 GET /home/css/main.css 0ms
[2016-05-27 14:40:49.928] [WARN] access - 304 GET /home/js/main.js 1ms
[2016-05-27 14:43:49.989] [WARN] access - 304 GET /join 568ms
[2016-05-27 14:43:50.171] [WARN] access - 304 GET /home/css/main.css 10ms
[2016-05-27 14:43:50.179] [WARN] access - 304 GET /home/js/main.js 2ms
[2016-05-27 14:43:50.789] [WARN] access - 304 GET /home/css/main.css 1ms
[2016-05-27 14:43:50.857] [WARN] access - 304 GET /home/js/main.js 0ms
[2016-05-27 14:43:52.062] [WARN] access - 304 GET /about 122ms
[2016-05-27 14:43:52.136] [WARN] access - 304 GET /home/css/main.css 1ms
[2016-05-27 14:43:52.150] [WARN] access - 304 GET /home/js/main.js 5ms
[2016-05-27 14:43:52.722] [WARN] access - 304 GET /home/css/main.css 1ms
[2016-05-27 14:43:52.776] [WARN] access - 304 GET /home/js/main.js 0ms
[2016-05-27 14:43:56.432] [WARN] access - 304 GET / 174ms
[2016-05-27 14:43:56.595] [WARN] access - 304 GET /home/css/main.css 1ms
[2016-05-27 14:43:56.600] [WARN] access - 304 GET /home/js/main.js 1ms
[2016-05-27 14:43:57.008] [WARN] access - 304 GET /home/css/main.css 2ms
[2016-05-27 14:43:57.063] [WARN] access - 304 GET /home/js/main.js 0ms
[2016-05-27 14:55:25.868] [WARN] access - 304 GET / 249ms
[2016-05-27 14:55:26.253] [WARN] access - 304 GET /home/css/main.css 1ms
[2016-05-27 14:55:26.273] [WARN] access - 304 GET /home/js/main.js 1ms
[2016-05-27 14:55:27.375] [WARN] access - 304 GET /home/css/main.css 0ms
[2016-05-27 14:55:27.475] [WARN] access - 304 GET /home/js/main.js 0ms
[2016-05-27 15:08:52.031] [ERROR] access - 200 GET /news 8047ms
[2016-05-27 15:34:23.719] [ERROR] access - 404 GET /news 6299ms
[2016-05-27 15:35:18.335] [ERROR] access - 404 GET /news 44ms
[2016-05-27 15:35:58.835] [INFO] access - 200 GET /news/a 5330ms
[2016-05-27 15:35:59.121] [WARN] access - 304 GET /home/css/main.css 2ms
[2016-05-27 15:35:59.162] [ERROR] access - 404 GET /news/home/js/main.js 38ms
[2016-05-27 15:35:59.660] [WARN] access - 304 GET /home/css/main.css 1ms
[2016-05-27 15:35:59.710] [ERROR] access - 404 GET /news/home/js/main.js 29ms
[2016-05-27 15:36:53.372] [INFO] access - 200 GET /news/a 3403ms
[2016-05-27 15:36:53.617] [WARN] access - 304 GET /home/css/main.css 45ms
[2016-05-27 15:36:53.816] [ERROR] access - 404 GET /news/home/js/main.js 26ms
[2016-05-27 15:36:54.771] [WARN] access - 304 GET /home/css/main.css 1ms
[2016-05-27 15:36:55.105] [ERROR] access - 404 GET /news/home/js/main.js 31ms
[2016-05-27 15:37:13.857] [WARN] access - 304 GET /news/a 3321ms
[2016-05-27 15:37:14.141] [WARN] access - 304 GET /home/css/main.css 2ms
[2016-05-27 15:37:14.173] [ERROR] access - 404 GET /news/home/js/main.js 18ms
[2016-05-27 15:37:15.200] [WARN] access - 304 GET /home/css/main.css 1ms
[2016-05-27 15:37:15.336] [ERROR] access - 404 GET /news/home/js/main.js 22ms
[2016-05-27 15:40:10.596] [WARN] access - 304 GET / 474ms
[2016-05-27 15:40:10.860] [WARN] access - 304 GET /home/css/main.css 5ms
[2016-05-27 15:40:10.870] [WARN] access - 304 GET /home/js/main.js 5ms
[2016-05-27 15:40:12.239] [WARN] access - 304 GET /home/css/main.css 3ms
[2016-05-27 15:40:12.318] [WARN] access - 304 GET /home/js/main.js 0ms
[2016-05-27 15:40:58.112] [ERROR] access - 404 GET /news 25ms
[2016-05-27 15:41:10.445] [INFO] access - 200 GET /news/a 8230ms
[2016-05-27 15:41:10.666] [WARN] access - 304 GET /home/css/main.css 1ms
[2016-05-27 15:41:10.679] [WARN] access - 304 GET /home/js/main.js 1ms
[2016-05-27 15:41:11.373] [WARN] access - 304 GET /home/css/main.css 0ms
[2016-05-27 15:41:11.911] [WARN] access - 304 GET /home/js/main.js 1ms
[2016-05-27 15:52:09.022] [WARN] access - 304 GET /news/a 222ms
[2016-05-27 15:52:09.341] [WARN] access - 304 GET /home/css/main.css 8ms
[2016-05-27 15:52:09.766] [WARN] access - 304 GET /home/js/main.js 0ms
[2016-05-27 15:52:10.451] [WARN] access - 304 GET /home/css/main.css 1ms
[2016-05-27 15:52:10.487] [WARN] access - 304 GET /home/js/main.js 2ms
[2016-05-27 15:59:30.855] [ERROR] access - 404 GET /news/info 444ms
[2016-05-27 15:59:53.287] [ERROR] access - 404 GET /news/info 40ms
[2016-05-27 15:59:58.565] [ERROR] access - 404 GET /news/info/ 33ms
[2016-05-27 16:03:49.692] [INFO] access - 200 GET /news/info/ 744ms
[2016-05-27 16:03:49.904] [WARN] access - 304 GET /home/css/main.css 22ms
[2016-05-27 16:03:49.910] [WARN] access - 304 GET /home/js/main.js 1ms
[2016-05-27 16:03:51.356] [WARN] access - 304 GET /home/css/main.css 1ms
[2016-05-27 16:03:51.445] [WARN] access - 304 GET /home/js/main.js 0ms
[2016-05-27 16:04:05.343] [WARN] access - 304 GET /news/info/ 131ms
[2016-05-27 16:04:05.593] [WARN] access - 304 GET /home/css/main.css 1ms
[2016-05-27 16:04:05.616] [WARN] access - 304 GET /home/js/main.js 1ms
[2016-05-27 16:04:06.481] [WARN] access - 304 GET /home/css/main.css 0ms
[2016-05-27 16:04:06.585] [WARN] access - 304 GET /home/js/main.js 1ms
[2016-05-27 16:04:21.420] [INFO] access - 200 GET /news/case/ 113ms
[2016-05-27 16:04:21.591] [WARN] access - 304 GET /home/css/main.css 1ms
[2016-05-27 16:04:21.603] [WARN] access - 304 GET /home/js/main.js 1ms
[2016-05-27 16:04:22.807] [WARN] access - 304 GET /home/css/main.css 0ms
[2016-05-27 16:04:22.873] [WARN] access - 304 GET /home/js/main.js 0ms
[2016-05-27 16:07:24.824] [WARN] access - 304 GET /news/case/ 76ms
[2016-05-27 16:07:25.023] [WARN] access - 304 GET /home/css/main.css 2ms
[2016-05-27 16:07:25.023] [WARN] access - 304 GET /home/js/main.js 2ms
[2016-05-27 16:07:26.394] [WARN] access - 304 GET /home/css/main.css 2ms
[2016-05-27 16:07:26.468] [WARN] access - 304 GET /home/js/main.js 2ms
[2016-05-27 16:07:41.590] [INFO] access - 200 GET /news/activity/ 95ms
[2016-05-27 16:07:41.741] [WARN] access - 304 GET /home/css/main.css 1ms
[2016-05-27 16:07:41.770] [WARN] access - 304 GET /home/js/main.js 23ms
[2016-05-27 16:07:42.846] [WARN] access - 304 GET /home/css/main.css 3ms
[2016-05-27 16:07:42.900] [WARN] access - 304 GET /home/js/main.js 0ms
[2016-05-27 16:12:43.566] [WARN] access - 304 GET /news/activity/ 814ms
[2016-05-27 16:12:43.850] [WARN] access - 304 GET /home/css/main.css 17ms
[2016-05-27 16:12:43.853] [WARN] access - 304 GET /home/js/main.js 8ms
[2016-05-27 16:12:44.620] [WARN] access - 304 GET /home/css/main.css 1ms
[2016-05-27 16:12:44.683] [WARN] access - 304 GET /home/js/main.js 1ms
[2016-05-27 16:16:56.616] [WARN] access - 304 GET /news/activity/ 640ms
[2016-05-27 16:16:57.032] [WARN] access - 304 GET /home/css/main.css 4ms
