[2016-06-05 11:07:19.106] [INFO] access - 200 GET / 856ms
[2016-06-05 11:07:19.415] [INFO] access - 200 GET / 306ms
[2016-06-05 11:07:19.646] [INFO] access - 200 GET /home/css/main.css 10ms
[2016-06-05 11:07:19.651] [INFO] access - 200 GET /home/js/base.js 10ms
[2016-06-05 11:07:20.547] [WARN] access - 304 GET /home/css/main.css 5ms
[2016-06-05 11:07:20.601] [WARN] access - 304 GET /home/js/base.js 2ms
[2016-06-05 11:07:30.694] [INFO] access - 200 GET /product 109ms
[2016-06-05 11:07:30.772] [WARN] access - 304 GET /home/css/main.css 4ms
[2016-06-05 11:07:30.775] [WARN] access - 304 GET /home/js/base.js 1ms
[2016-06-05 11:07:31.192] [WARN] access - 304 GET /home/css/main.css 3ms
[2016-06-05 11:07:31.335] [WARN] access - 304 GET /home/js/base.js 2ms
[2016-06-05 11:07:31.798] [INFO] access - 200 GET /facilitator 99ms
[2016-06-05 11:07:31.873] [WARN] access - 304 GET /home/css/main.css 2ms
[2016-06-05 11:07:31.889] [WARN] access - 304 GET /home/js/base.js 1ms
[2016-06-05 11:07:32.490] [WARN] access - 304 GET /home/css/main.css 4ms
[2016-06-05 11:07:32.539] [WARN] access - 304 GET /home/js/base.js 3ms
[2016-06-05 11:07:33.496] [INFO] access - 200 GET /about 60ms
[2016-06-05 11:07:33.567] [WARN] access - 304 GET /home/css/main.css 3ms
[2016-06-05 11:07:33.569] [WARN] access - 304 GET /home/js/base.js 2ms
[2016-06-05 11:07:33.926] [WARN] access - 304 GET /home/css/main.css 1ms
[2016-06-05 11:07:33.995] [WARN] access - 304 GET /home/js/base.js 2ms
[2016-06-05 11:07:34.799] [INFO] access - 200 GET /join 61ms
[2016-06-05 11:07:34.858] [WARN] access - 304 GET /home/css/main.css 1ms
[2016-06-05 11:07:34.935] [WARN] access - 304 GET /home/js/base.js 2ms
[2016-06-05 11:07:35.358] [WARN] access - 304 GET /home/css/main.css 4ms
[2016-06-05 11:07:35.390] [WARN] access - 304 GET /home/js/base.js 3ms
[2016-06-05 11:13:00.854] [WARN] access - 304 GET / 5101ms
